# (number of time word appears): (number of words in this category), (percentage of total words)%
1 words: 4693,  54.017035%
2 words: 1323,  15.227901%
3 words: 643,  7.401013%
4 words: 354,  4.074586%
5 words: 270,  3.107735%
6 words: 176,  2.025783%
7 words: 154,  1.772560%
8 words: 106,  1.220074%
9 words: 96,  1.104972%
10 words: 78,  0.897790%
11 words: 58,  0.667587%
12 words: 59,  0.679098%
13 words: 56,  0.644567%
14 words: 35,  0.402855%
15 words: 33,  0.379834%
16 words: 17,  0.195672%
17 words: 26,  0.299263%
18 words: 20,  0.230203%
19 words: 22,  0.253223%
20 words: 27,  0.310773%
21 words: 17,  0.195672%
22 words: 19,  0.218692%
23 words: 18,  0.207182%
24 words: 14,  0.161142%
25 words: 16,  0.184162%
26 words: 19,  0.218692%
27 words: 9,  0.103591%
28 words: 8,  0.092081%
29 words: 14,  0.161142%
30 words: 7,  0.080571%
31 words: 5,  0.057551%
32 words: 9,  0.103591%
33 words: 2,  0.023020%
34 words: 7,  0.080571%
35 words: 6,  0.069061%
36 words: 6,  0.069061%
37 words: 5,  0.057551%
38 words: 8,  0.092081%
39 words: 6,  0.069061%
40 words: 6,  0.069061%
41 words: 7,  0.080571%
42 words: 5,  0.057551%
43 words: 2,  0.023020%
44 words: 6,  0.069061%
45 words: 4,  0.046041%
46 words: 4,  0.046041%
47 words: 3,  0.034530%
48 words: 4,  0.046041%
49 words: 2,  0.023020%
50 words: 3,  0.034530%
51 words: 5,  0.057551%
52 words: 4,  0.046041%
53 words: 6,  0.069061%
55 words: 3,  0.034530%
56 words: 2,  0.023020%
57 words: 5,  0.057551%
58 words: 2,  0.023020%
59 words: 1,  0.011510%
60 words: 4,  0.046041%
61 words: 3,  0.034530%
62 words: 1,  0.011510%
64 words: 2,  0.023020%
65 words: 2,  0.023020%
66 words: 4,  0.046041%
67 words: 6,  0.069061%
68 words: 2,  0.023020%
69 words: 2,  0.023020%
70 words: 1,  0.011510%
71 words: 1,  0.011510%
72 words: 2,  0.023020%
73 words: 2,  0.023020%
74 words: 2,  0.023020%
75 words: 1,  0.011510%
76 words: 1,  0.011510%
77 words: 2,  0.023020%
80 words: 3,  0.034530%
82 words: 2,  0.023020%
83 words: 2,  0.023020%
84 words: 2,  0.023020%
85 words: 2,  0.023020%
86 words: 2,  0.023020%
87 words: 1,  0.011510%
88 words: 1,  0.011510%
89 words: 1,  0.011510%
91 words: 2,  0.023020%
93 words: 1,  0.011510%
95 words: 1,  0.011510%
96 words: 2,  0.023020%
97 words: 3,  0.034530%
98 words: 1,  0.011510%
102 words: 1,  0.011510%
103 words: 1,  0.011510%
106 words: 2,  0.023020%
107 words: 1,  0.011510%
108 words: 2,  0.023020%
110 words: 1,  0.011510%
114 words: 1,  0.011510%
116 words: 1,  0.011510%
117 words: 1,  0.011510%
119 words: 1,  0.011510%
120 words: 1,  0.011510%
121 words: 1,  0.011510%
125 words: 1,  0.011510%
126 words: 2,  0.023020%
128 words: 2,  0.023020%
129 words: 2,  0.023020%
139 words: 1,  0.011510%
140 words: 1,  0.011510%
142 words: 2,  0.023020%
144 words: 1,  0.011510%
151 words: 1,  0.011510%
154 words: 1,  0.011510%
155 words: 1,  0.011510%
156 words: 1,  0.011510%
157 words: 2,  0.023020%
160 words: 1,  0.011510%
164 words: 2,  0.023020%
165 words: 1,  0.011510%
166 words: 2,  0.023020%
171 words: 1,  0.011510%
172 words: 1,  0.011510%
173 words: 1,  0.011510%
174 words: 1,  0.011510%
178 words: 1,  0.011510%
183 words: 2,  0.023020%
184 words: 1,  0.011510%
187 words: 2,  0.023020%
191 words: 1,  0.011510%
192 words: 1,  0.011510%
195 words: 1,  0.011510%
198 words: 1,  0.011510%
207 words: 1,  0.011510%
214 words: 1,  0.011510%
215 words: 1,  0.011510%
216 words: 1,  0.011510%
220 words: 1,  0.011510%
223 words: 1,  0.011510%
226 words: 2,  0.023020%
234 words: 1,  0.011510%
244 words: 1,  0.011510%
247 words: 1,  0.011510%
256 words: 1,  0.011510%
263 words: 2,  0.023020%
270 words: 2,  0.023020%
272 words: 1,  0.011510%
278 words: 1,  0.011510%
286 words: 1,  0.011510%
290 words: 1,  0.011510%
308 words: 1,  0.011510%
314 words: 1,  0.011510%
322 words: 1,  0.011510%
329 words: 1,  0.011510%
340 words: 1,  0.011510%
341 words: 1,  0.011510%
374 words: 1,  0.011510%
376 words: 1,  0.011510%
377 words: 1,  0.011510%
403 words: 1,  0.011510%
407 words: 1,  0.011510%
416 words: 1,  0.011510%
423 words: 1,  0.011510%
435 words: 1,  0.011510%
444 words: 1,  0.011510%
454 words: 1,  0.011510%
497 words: 1,  0.011510%
523 words: 1,  0.011510%
567 words: 1,  0.011510%
587 words: 1,  0.011510%
622 words: 1,  0.011510%
631 words: 1,  0.011510%
644 words: 1,  0.011510%
646 words: 1,  0.011510%
650 words: 1,  0.011510%
923 words: 1,  0.011510%
954 words: 1,  0.011510%
993 words: 1,  0.011510%
1041 words: 1,  0.011510%
1316 words: 1,  0.011510%
1614 words: 1,  0.011510%
1633 words: 1,  0.011510%
1722 words: 1,  0.011510%
2052 words: 1,  0.011510%
2830 words: 1,  0.011510%
2911 words: 1,  0.011510%
4356 words: 1,  0.011510%
